airbnb_neighbourhood,barrio_id,barrio_label,distrito_id,distrito_label
Baró de Viver,lBarBarodeViver,Baró de Viver,lDisSantAndreu,Sant Andreu
Can Baró,lBarCanBaro,Can Baró,lDisHortaGuinardo,Horta-Guinardó
Can Peguera,lBarCanPeguera,Can Peguera,lDisNouBarris,Nou Barris
Canyelles,lBarCanyelles,Canyelles,lDisNouBarris,Nou Barris
Ciutat Meridiana,lBarCiutatMeridiana,Ciutat Meridiana,lDisNouBarris,Nou Barris
Diagonal Mar i el Front Marítim del Poblenou,lBarDiagonalMarielFrontMaritimdelPoblenou,Diagonal Mar i el Front Marítim del Poblenou,lDisSantMarti,Sant Martí
Horta,lBarHorta,Horta,lDisHortaGuinardo,Horta-Guinardó
Hostafrancs,lBarHostafrancs,Hostafrancs,lDisSantsMontjuic,Sants-Montjuïc
Montbau,lBarMontbau,Montbau,lDisHortaGuinardo,Horta-Guinardó
Navas,lBarNavas,Navas,lDisSantAndreu,Sant Andreu
Pedralbes,lBarPedralbes,Pedralbes,lDisLesCorts,Les Corts
Porta,lBarPorta,Porta,lDisNouBarris,Nou Barris
Provençals del Poblenou,lBarProvencalsdelPoblenou,Provençals del Poblenou,lDisSantMarti,Sant Martí
Sant Andreu,lBarSantAndreu,Sant Andreu,lDisSantAndreu,Sant Andreu
Sant Antoni,lBarSantAntoni,Sant Antoni,lDisEixample,Eixample
Sant Genís dels Agudells,lBarSantGenisdelsAgudells,Sant Genís dels Agudells,lDisHortaGuinardo,Horta-Guinardó
Sant Gervasi - Galvany,lBarSantGervasiGalvany,Sant Gervasi - Galvany,lDisSarriaSantGervasi,Sarrià-Sant Gervasi
Sant Gervasi - la Bonanova,lBarSantGervasilaBonanova,Sant Gervasi - la Bonanova,lDisSarriaSantGervasi,Sarrià-Sant Gervasi
Sant Martí de Provençals,lBarSantMartideProvencals,Sant Martí de Provençals,lDisSantMarti,Sant Martí
"Sant Pere, Santa Caterina i la Ribera",lBarSantPereSantaCaterinailaRibera,"Sant Pere, Santa Caterina i la Ribera",lDisCiutatVella,Ciutat Vella
Sants,lBarSants,Sants,lDisSantsMontjuic,Sants-Montjuïc
Sants - Badal,lBarSantsBadal,Sants - Badal,lDisSantsMontjuic,Sants-Montjuïc
Sarrià,lBarSarria,Sarrià,lDisSarriaSantGervasi,Sarrià-Sant Gervasi
Torre Baró,lBarTorreBaro,Torre Baró,lDisNouBarris,Nou Barris
Vallbona,lBarVallbona,Vallbona,lDisNouBarris,Nou Barris
Vallcarca i els Penitents,lBarVallcarcaielsPenitents,Vallcarca i els Penitents,lDisGracia,Gràcia
